date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-24,12.6,10.9,15,45.9,0,151,15.5,67.7,999.6,
2024-08-25,12.4,11.1,14.4,46.4,0,182,16.5,46.1,1001.7,
2024-08-26,12.9,11.8,15.1,12.4,0,181,15.7,70.6,1007.7,
2024-08-27,13.7,11,15.3,41.5,0,,,,,
2024-08-28,17.6,14.8,21.4,2.6,0,,,,,
2024-08-29,17.2,14.5,21.3,33.6,0,,,,,
2024-08-30,13.2,11.7,15.9,2.6,0,,,,,
2024-08-31,13.1,10.4,17.6,2.5,0,,,,,
2024-09-01,14.3,8,22,0,,,,,,
2024-09-02,15.1,9.5,22.2,0,,,,,,
2024-09-03,15.9,14.2,19.8,4.1,,,,,,
2024-09-04,16.8,14.1,20.7,13,,,,,,
2024-09-05,20.4,15,28.6,3.3,,4,5.6,20.9,1025.2,
2024-09-06,20.5,14.7,27.6,0,,357,6.1,19.8,1024.4,
2024-09-07,18.9,14.1,26.1,0,,15,5.1,15.8,1019.2,
2024-09-08,17.8,14.4,23.9,0,,126,9.9,26.6,1009.6,
2024-09-09,12.9,9.5,18.6,27.7,,318,12.1,36.4,999.8,
2024-09-10,10.9,7.7,14.4,17.8,,124,17.7,69.1,990.4,
2024-09-11,10.2,9.2,12.5,16,,185,18.1,73.8,983.8,
2024-09-12,9.9,7.4,13.5,36.3,,288,13.2,49.3,1003,
2024-09-13,7.3,5.9,10,14.2,,128,7.2,19.1,1020.1,
2024-09-14,11.3,7.9,14.3,1.5,,146,18.7,49,1024.3,
2024-09-15,13.6,11.5,15.4,3.3,,157,17.1,50,1019.3,
2024-09-16,12.3,9.9,16.6,16.5,,6,4.6,20.2,1025.6,
2024-09-17,12.8,9.4,15.4,0.3,,139,7.2,20.5,1032.9,
2024-09-18,15,9.5,22.6,0,,351,4.3,20.5,1034.8,
2024-09-19,14.6,10.5,21.9,0,,188,5.7,20.2,1033.3,
2024-09-20,14.4,10.1,19.8,0,,302,5.4,18,1031.6,
2024-09-21,12.9,10.4,18.5,0,,312,6.3,23.4,1027,
2024-09-22,13,10.6,16.1,0,,152,9.7,28.1,1020.5,
2024-09-23,12.4,9.4,15.3,0,,140,5.9,21.2,1009.5,
2024-09-24,10.7,8.5,15,0,,335,5.2,20.5,999.6,
2024-09-25,10.2,8.1,13,0,,335,9.1,40,991.2,
2024-09-26,9.1,4.4,14.1,0,,352,9.7,32.4,995.6,
2024-09-27,8.9,6.1,13.3,0,,342,16.7,51.5,994.2,
2024-09-28,5.4,2.9,9.9,4.3,,10,10.3,60.1,1007.3,
2024-09-29,8.1,3.8,10.4,7.9,,136,12,34.2,1019.8,
2024-09-30,11.8,8.3,15.3,0.3,,134,13.7,36.7,1020.6,
2024-10-01,10.6,6.7,17,0,,28,6.6,19.1,1022.3,
2024-10-02,9.5,4.4,15.1,0,,351,8,28.1,1023.4,
2024-10-03,8.9,5.6,14.2,0,,356,7.1,23.8,1024.1,
2024-10-04,8.6,4.1,14.2,0,,27,5.3,23.4,1021.5,
2024-10-05,11.3,9.8,12.2,0,,156,19,43.9,1015.2,
2024-10-06,12.2,10.9,13.4,15.5,,155,15.1,44.3,1009.1,
2024-10-07,11.8,8.3,15.3,0.3,,91,8.9,28.1,1002.3,
2024-10-08,11.8,10,13.9,3.6,,122,11.8,46.1,997.7,
2024-10-09,10.6,7.7,12.3,8.4,,15,8.1,31,988.6,
2024-10-10,7,4.2,10.6,13.2,,342,23.5,54,991.5,
2024-10-11,4.2,3,6.5,4.1,,111,7.9,30.2,1001.5,
2024-10-12,6.8,2.9,9.5,7.9,,141,20.1,60.5,1004,
2024-10-13,7.3,6,9.2,13,,8,9.6,39.2,1003.8,
2024-10-14,5.9,2.4,9.6,8.4,,335,5.7,24.1,1015.5,
2024-10-15,8.7,4.4,12.1,0,,151,19.1,37.8,1020.5,
2024-10-16,13.4,5.7,17.8,0,,151,16.6,40,1015,
2024-10-17,16.4,12.4,19.3,0,,155,17.6,60.5,1007,
2024-10-18,13.4,12,16,10.9,,159,17.5,45,1011.6,
2024-10-19,14.3,11.8,16.9,0,,160,18.3,54.4,1010.2,
2024-10-20,12,10.9,14.3,25.4,,158,18.3,72,1005.9,
2024-10-21,11.9,10.8,13.5,23.6,,185,28,86,1000.2,
2024-10-22,10.7,8.7,11.9,0,,211,19.8,47.5,1011.7,
2024-10-23,10.3,7.6,11.7,14.2,,181,17.5,52.9,1021.5,
2024-10-24,12.4,10.7,13.9,13.5,,165,25.9,60.8,1020.9,
2024-10-25,11.4,10.7,13,0,,159,15.7,50,1017.2,
2024-10-26,11.8,10.7,13.6,0.5,,157,22.6,61.6,1013,
2024-10-27,9.1,7.1,12.7,26.9,,201,14.3,57.2,1008.1,
2024-10-28,7.8,4.4,11.1,3.8,,94,7.5,23.8,1014.9,
2024-10-29,7.2,2.1,10.3,1,,160,12.9,36.4,1017.6,
2024-10-30,9.1,7.6,10.6,7.4,,266,11,35.3,1020.2,
2024-10-31,11.1,8,12,49.8,,234,22.6,58.7,1008.4,
2024-11-01,6.7,2.1,12.1,65.8,,323,22.9,59.4,1013.3,
2024-11-02,3.8,1.7,6,1.5,,113,12.9,47.9,1028.1,
2024-11-03,10.1,4.6,11,26.2,,310,11.5,36.4,1023.5,
2024-11-04,10.3,9.4,11,5.8,,141,5.2,13,1028.6,
2024-11-05,8.9,7.4,10.4,3.8,,127,5,14,1025.8,
2024-11-06,8.9,7.4,10.1,0.3,,148,12.3,27.7,1028.1,
2024-11-07,10.5,8.4,12.4,1,,146,11.1,27.4,1032.6,
2024-11-08,10.8,10.3,11.5,0,,148,11.9,27.7,1032.4,
2024-11-09,9.3,8,10.9,0,,109,6.4,16.2,1030.2,
2024-11-10,7.8,5.1,9.3,0.3,,125,13.2,37.1,1025.3,
2024-11-11,7.6,6.6,8.8,2.3,,96,7.6,32.4,1027.3,
2024-11-12,7.3,5.2,9,1.3,,78,5.3,19.4,1036.2,
2024-11-13,8.7,8,10.4,0,,12,7.9,25.2,1027.8,
2024-11-14,7.1,5.6,8.3,2.5,,27,8.5,23.8,1024.9,
2024-11-15,9.3,6.5,11.3,2.3,,186,18.8,61.6,1012.8,
2024-11-16,5.3,2,11.3,0,,259,26.6,75.6,995.8,
2024-11-17,4.5,2.4,6.5,15,,336,16.2,61.9,993.7,
2024-11-18,1.8,0.2,3.7,0,,3,7.4,26.6,999.1,
2024-11-19,-0.6,-1.9,1,0,,46,4.9,16.9,996,
2024-11-20,-2.1,-3.7,1,0,,73,4.5,16.6,996.2,
2024-11-21,-3.5,-5.1,0,0,,69,5.6,21.6,993.1,
2024-11-22,-2.9,-5.9,-0.9,0,,77,6.5,22.7,995.3,
2024-11-23,-0.4,-2.3,1.7,6.4,71,109,8.6,23.4,1004.1,
